Model,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-3267,BYL719 + binimetinib,"PIK3CA,MAPK",combo,-52.5,54,-28.171999999999997,90,90.0,90,PR
X-3267,cetuximab + encorafenib,"EGFR,BRAF",combo,14.200000000000005,17,7.540000000000006,13,44.05521472392638,80,SD-->PD
X-3267,CGM097,MDM2,single,65.5,24,14.040000000000006,13,26.91549295774648,27,PD
X-3267,CKX620,MAPK,single,-11.200000000000005,59,-1.8333333333333288,17,59.0,59,SD
X-3267,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,1.5999999999999943,28,2.9799999999999898,14,78.62711864406779,87,SD-->PD
X-3267,HDM201,MDM2,single,27.5,20,8.775000000000006,13,41.0,41,SD-->PD
X-3267,LEE011,"CDK4,CDK6,CDK4/6",single,14.200000000000005,12,4.179999999999993,12,44.77367205542725,71,SD-->PD
X-3267,encorafenib,BRAF,single,-2.5999999999999943,10,4.700000000000003,13,34.17831813576495,38,SD-->PD
X-3267,LJC049,TNKS,single,66.30000000000001,21,5.179999999999993,14,23.453883495145632,24,PD
X-3267,LKA136,"NTRK1,NTRK2,NTRK3",single,21.0,14,16.700000000000003,14,31.989473684210527,35,SD-->PD
X-3267,binimetinib,"MAP2K1,MAP2K2,MAPK",single,-30.09999999999999,71,-10.088461538461544,89,89.0,89,SD
X-3267,untreated,"UNKNOWN,Untreated",single,10.400000000000006,11,4.0,11,76.04276315789474,88,SD-->PD
X-3268,abraxane,Tubulin,single,137.4,21,39.099999999999994,11,13.45308310991957,28,PD
